impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps
kuafu,4,1,primary,70406,1080535,15347.200522682726
kuafu,4,1,backup,21424,1080535,50435.72628827483
kuafu,16,1,primary,73019,1647518,22562.867198948217
kuafu,16,1,backup,32324,1647518,50968.87761415666
kuafu,2,1,primary,67838,602509,8881.585542026593
kuafu,2,1,backup,11864,602509,50784.64261631828
kuafu,1,1,primary,66522,315015,4735.501037250834
kuafu,1,1,backup,6575,315015,47911.02661596958
kuafu,8,1,primary,74711,1775263,23761.735219713297
kuafu,8,1,backup,34426,1775263,51567.507116714114
