impl,n_clients,n_updates,server,total_time_ms,n_commits,commit_rate_tps
kuafu,2,1,primary,61994,509323,8215.682162789948
kuafu,2,1,backup,10383,509323,49053.549070596164
kuafu,4,1,primary,62159,988554,15903.634228349876
kuafu,4,1,backup,19404,988554,50945.88744588745
kuafu,16,1,primary,61041,1496802,24521.256204845922
kuafu,16,1,backup,29435,1496802,50851.095634448786
kuafu,8,1,primary,62160,1624248,26130.11583011583
kuafu,8,1,backup,32797,1624248,49524.2857578437
kuafu,1,1,primary,62138,228373,3675.2550774083493
kuafu,1,1,backup,4628,228373,49345.93777009507
